# FractureId; NumTraces
0; 112
# TraceId; Tips; Length
538; 1; 2.8400170932106006e-01
535; 1; 2.7785037756306352e-01
489; 1; 2.7713688498993067e-01
487; 1; 2.7469260008402296e-01
548; 1; 2.7102250574526698e-01
480; 1; 2.5746509734753648e-01
500; 1; 2.4949245186459176e-01
515; 1; 2.3979389658123193e-01
205; 1; 2.3609980700220060e-01
502; 1; 2.2315651453812527e-01
494; 1; 2.1737832423364581e-01
527; 1; 2.1570210738449139e-01
552; 1; 2.0247720950355588e-01
475; 1; 1.9082984082076460e-01
556; 1; 1.8989054476171247e-01
513; 1; 1.8420427494190680e-01
512; 1; 1.5303962011662250e-01
541; 1; 1.4943417692909899e-01
113; 1; 1.3559431734942970e-01
483; 1; 1.2062631247207609e-01
526; 1; 1.1565512495475389e-01
546; 1; 1.1515531211218114e-01
499; 1; 1.1151480785502957e-01
496; 1; 9.3881014353730682e-02
505; 1; 3.9483470667406061e-02
# FractureId; NumTraces
5; 66
# TraceId; Tips; Length
629; 0; 1.1831130473527736e+00
567; 0; 8.4702834524370363e-01
585; 0; 7.7689385663185451e-01
630; 0; 7.3803851201490334e-01
624; 0; 6.8876866583063823e-01
571; 0; 5.0701317535717028e-01
578; 0; 2.2571017015234776e-01
627; 0; 2.1596305030579893e-01
581; 1; 9.9016480804761553e-01
618; 1; 9.1597523737905795e-01
577; 1; 9.0052642656105419e-01
614; 1; 8.1124178576776196e-01
588; 1; 7.3920446884841595e-01
583; 1; 7.3198095860633206e-01
591; 1; 7.2686661203780067e-01
599; 1; 7.2517408473595224e-01
616; 1; 7.0397870505082616e-01
593; 1; 6.8676514516063591e-01
206; 1; 6.8583341698663802e-01
609; 1; 6.5909341349553907e-01
626; 1; 6.4969132651954786e-01
621; 1; 6.0569117181402321e-01
622; 1; 5.9633710541587404e-01
597; 1; 5.9558625308258373e-01
613; 1; 5.7898105637965691e-01
595; 1; 5.7236614414166764e-01
590; 1; 5.6773624808931611e-01
587; 1; 5.5728023033306995e-01
598; 1; 5.4635701743425713e-01
582; 1; 5.2983605479136431e-01
615; 1; 5.2009410991728366e-01
607; 1; 5.1447386814408602e-01
620; 1; 5.0893005036459027e-01
573; 1; 4.7672811080427352e-01
600; 1; 4.7250883647289232e-01
572; 1; 4.4344543920954116e-01
594; 1; 4.3976617800208384e-01
575; 1; 4.3947689486740227e-01
576; 1; 4.3356447530932546e-01
611; 1; 4.3181903775667480e-01
566; 1; 4.0944011526935625e-01
584; 1; 4.0527011887200415e-01
589; 1; 3.7264434250375500e-01
579; 1; 3.7225722351480944e-01
612; 1; 3.6778894473650736e-01
619; 1; 3.5810227536098493e-01
628; 1; 3.5247805886653771e-01
604; 1; 3.3862060442628350e-01
610; 1; 3.2857189650587765e-01
602; 1; 3.1285999178295953e-01
623; 1; 3.0685254328093076e-01
617; 1; 2.8535320861984598e-01
596; 1; 2.6758670752588498e-01
601; 1; 2.4941142003590358e-01
625; 1; 2.3003853624594861e-01
606; 1; 2.2661867358923996e-01
608; 1; 2.0727465749870239e-01
574; 1; 1.9717097888589527e-01
586; 1; 1.6038849759737761e-01
569; 1; 1.5428720578215116e-01
570; 1; 1.4113782860319807e-01
592; 1; 1.2661973408519356e-01
603; 1; 8.5131796139695320e-02
580; 1; 7.2975563716383113e-02
568; 1; 5.4948004462855270e-02
605; 1; 4.9563871190826926e-02
# FractureId; NumTraces
6; 69
# TraceId; Tips; Length
642; 0; 8.8089642024728898e-01
653; 0; 8.7098919373954065e-01
207; 0; 6.6724481905364674e-01
686; 0; 6.5213485015084038e-01
654; 0; 6.1298109239458909e-01
696; 0; 5.8472100636407298e-01
666; 0; 5.7910244950872136e-01
649; 0; 5.7697089588962003e-01
566; 0; 4.0944011526935625e-01
651; 0; 3.7171043106806306e-01
672; 0; 3.5506289118283774e-01
635; 0; 2.7152962822284493e-01
675; 0; 2.6718689344649116e-01
660; 0; 2.5415706614281441e-01
685; 0; 2.5936075627924941e-02
639; 0; 4.0769319858745146e-03
694; 1; 9.1678201238163592e-01
648; 1; 8.3005367406216912e-01
645; 1; 7.4344772046693131e-01
657; 1; 6.9674134412601829e-01
669; 1; 6.7057695944078122e-01
681; 1; 6.6011838133220968e-01
646; 1; 6.1296014318073933e-01
644; 1; 5.8506425249513616e-01
636; 1; 5.7601338708995686e-01
631; 1; 5.4711646642946077e-01
679; 1; 5.3078860694818419e-01
643; 1; 5.1379308475349528e-01
682; 1; 4.8758024433280417e-01
656; 1; 4.8643084603019304e-01
662; 1; 4.6342769642834281e-01
659; 1; 4.2459230784702473e-01
691; 1; 4.2341415825913925e-01
678; 1; 4.2301615046464103e-01
665; 1; 4.1074787285941738e-01
671; 1; 3.9728035309237891e-01
647; 1; 3.8360876898351676e-01
683; 1; 3.7910600716795528e-01
637; 1; 3.6488126782782476e-01
688; 1; 3.5935806784651597e-01
640; 1; 3.5608769834125376e-01
684; 1; 3.4847395637309603e-01
677; 1; 3.3878787151708406e-01
693; 1; 3.3594543633791352e-01
634; 1; 3.2967767538935416e-01
690; 1; 2.9348503629656875e-01
652; 1; 2.9244985636490239e-01
638; 1; 2.8580106071542805e-01
663; 1; 2.7755944507376351e-01
633; 1; 2.2778657305827305e-01
664; 1; 2.2089762365186416e-01
650; 1; 2.1061969907674963e-01
676; 1; 2.0417513584288852e-01
667; 1; 2.0331229483992597e-01
673; 1; 2.0102021903157596e-01
668; 1; 1.8978436439519850e-01
687; 1; 1.7855113337169634e-01
692; 1; 1.6032535986304006e-01
641; 1; 1.5571182072099715e-01
661; 1; 1.5468875400794860e-01
680; 1; 1.4819483109921769e-01
670; 1; 1.1900211582032978e-01
674; 1; 1.1132689257445422e-01
689; 1; 9.6901448078388894e-02
632; 1; 9.2117034895625963e-02
658; 1; 9.0910461029797565e-02
695; 1; 5.4987212255222601e-02
655; 1; 5.3605433848384391e-02
697; 1; 1.6694621337334344e-02
# FractureId; NumTraces
7; 94
# TraceId; Tips; Length
719; 0; 1.4127774640105477e+00
114; 0; 9.8967480322363066e-01
786; 0; 7.0435246115283223e-01
732; 0; 6.1502835063754657e-01
710; 0; 1.4497990803527933e-01
770; 0; 1.1815657572955668e-01
769; 0; 1.1031205970639800e-01
728; 0; 3.8505438145968025e-02
758; 1; 1.3290780012634733e+00
746; 1; 1.2713856273974296e+00
720; 1; 1.1749422307046953e+00
757; 1; 1.1484374567725630e+00
752; 1; 9.6310019447890216e-01
734; 1; 9.0003627255280616e-01
717; 1; 8.9288338888270324e-01
738; 1; 8.5037342490321377e-01
780; 1; 8.2899754304141682e-01
784; 1; 8.1889768448053701e-01
747; 1; 8.1098920379992367e-01
739; 1; 8.0293773505882715e-01
731; 1; 7.8782849061177129e-01
765; 1; 7.7933289019615470e-01
787; 1; 7.5747391816375487e-01
761; 1; 7.4457376653650931e-01
776; 1; 7.2973013879940463e-01
706; 1; 7.1582302130403919e-01
729; 1; 7.0304297732396148e-01
727; 1; 6.9837296987702147e-01
773; 1; 6.8737585185623207e-01
779; 1; 6.4573438697241914e-01
764; 1; 6.3666477380195619e-01
715; 1; 6.2590596935403053e-01
724; 1; 6.2529893757502741e-01
763; 1; 6.1914789826301642e-01
708; 1; 6.1516616053623729e-01
753; 1; 5.9222231953029103e-01
733; 1; 5.8245422477232323e-01
699; 1; 5.6707935364651907e-01
704; 1; 5.6492332594530192e-01
709; 1; 5.6154199267696137e-01
698; 1; 5.0439223638747455e-01
722; 1; 4.7773369633646368e-01
329; 1; 4.7539867311219486e-01
725; 1; 4.3676014741814118e-01
744; 1; 4.3641435052406508e-01
772; 1; 4.3029910749007838e-01
730; 1; 4.2834634972867769e-01
711; 1; 4.1171422970435423e-01
718; 1; 4.1005527325502650e-01
749; 1; 3.5133756268248167e-01
